frame.number;frame.time;frame.len;frame.protocols;ip.proto;ip.src;tcp.srcport;udp.srcport;ip.dst;tcp.dstport;udp.dstport
1;May 20, 2017 17:08:27.276096000 JST;98;eth:ethertype:ip:tcp:ssl;6;52.206.52.127;443;;192.168.3.13;60909;
2;May 20, 2017 17:08:27.276183000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;60909;;52.206.52.127;443;
3;May 20, 2017 17:08:31.062083000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.30.255.117;443;;192.168.3.13;61631;
4;May 20, 2017 17:08:31.062088000 JST;66;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61631;
5;May 20, 2017 17:08:31.062191000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61631;;192.30.255.117;443;
6;May 20, 2017 17:08:31.062191000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61631;;192.30.255.117;443;
7;May 20, 2017 17:08:31.062328000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61631;;192.30.255.117;443;
8;May 20, 2017 17:08:31.062441000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61631;;192.30.255.117;443;
9;May 20, 2017 17:08:31.109107000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.30.255.117;443;;192.168.3.13;61630;
10;May 20, 2017 17:08:31.109113000 JST;66;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61630;
11;May 20, 2017 17:08:31.109222000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61630;;192.30.255.117;443;
12;May 20, 2017 17:08:31.109294000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61630;;192.30.255.117;443;
13;May 20, 2017 17:08:31.109511000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61630;;192.30.255.117;443;
14;May 20, 2017 17:08:31.109744000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61630;;192.30.255.117;443;
15;May 20, 2017 17:08:31.166473000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61631;
16;May 20, 2017 17:08:31.166478000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61631;
17;May 20, 2017 17:08:31.241349000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61630;
18;May 20, 2017 17:08:31.241574000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61630;
19;May 20, 2017 17:08:31.333291000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.30.255.117;443;;192.168.3.13;61629;
20;May 20, 2017 17:08:31.333296000 JST;66;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61629;
21;May 20, 2017 17:08:31.333422000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61629;;192.30.255.117;443;
22;May 20, 2017 17:08:31.333486000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61629;;192.30.255.117;443;
23;May 20, 2017 17:08:31.333548000 JST;97;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61629;;192.30.255.117;443;
24;May 20, 2017 17:08:31.333668000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61629;;192.30.255.117;443;
25;May 20, 2017 17:08:31.453264000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61629;
26;May 20, 2017 17:08:31.453528000 JST;60;eth:ethertype:ip:tcp;6;192.30.255.117;443;;192.168.3.13;61629;
27;May 20, 2017 17:08:31.872571000 JST;92;eth:ethertype:ip:udp:dns;17;192.168.3.13;;54822;192.168.3.1;;53
28;May 20, 2017 17:08:31.888691000 JST;244;eth:ethertype:ip:udp:dns;17;192.168.3.1;;53;192.168.3.13;;54822
29;May 20, 2017 17:08:31.889561000 JST;78;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
30;May 20, 2017 17:08:31.903942000 JST;74;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
31;May 20, 2017 17:08:31.904072000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61632;;172.217.26.33;443;
32;May 20, 2017 17:08:31.904760000 JST;583;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61632;;172.217.26.33;443;
33;May 20, 2017 17:08:31.921792000 JST;66;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
34;May 20, 2017 17:08:31.924625000 JST;1484;eth:ethertype:ip:tcp:ssl;6;172.217.26.33;443;;192.168.3.13;61632;
35;May 20, 2017 17:08:31.925111000 JST;1484;eth:ethertype:ip:tcp;6;172.217.26.33;443;;192.168.3.13;61632;
